title,content
J – Association Visiting Rights,"315 Duly authorized representatives of the Association shall be permitted at all 
reasonable times to enter the facilities operated by the Employer for the 
purposes of transacting Association business and observing conditions 
under which Nurses are employed; provided, however, that the 
Association's representatives shall upon arrival at the facility notify the 
Administrator or her/his designee of the intent to transact Association 
business. The Association representative shall advise the Administrator as 
to which department or areas s/he wishes to visit, and confine her/his visits 
to such departments or areas as agreed upon."
6 316 Transaction of any business shall be conducted in an appropriate location,"subject to general Hospital and Clinic rules applicable to non-employees 
and shall not interfere with the work of employees."
K – No Conflicting Agreements,"317 No employee shall be required nor permitted to make a written or verbal 
agreement with the Employer which may conflict with the terms of this 
collective bargaining agreement."
L – Nurse Representative,"318 The California Nurses Association may appoint Nurse Representatives who 
shall be non-probationary employees of the facility and shall notify the facility 
in writing of such appointments. 
319 The function of the Nurse Representative shall be to handle grievances 
and to ascertain that the terms and conditions of the contract are observed. 
In handling grievances, the Nurse Representative shall only deal with 
representatives of the facility designated to handle grievances. The facility's 
designated representatives are only required to meet with one (1) Nurse 
Representative on any grievance. 
320 The activities of the Nurse Representatives under this Article shall not 
unduly interfere with the Nurse Representative's work or the work of any 
other employee. 
400 ARTICLE IV – BULLETIN BOARDS 
401 To ensure reasonable access to information, each facility will provide 
bulletin boards in central and convenient location(s) using a guideline of a 
minimum of one (1) bulletin board for each one hundred (100) Nurses or 
portion thereof on the staff. When reasonable access cannot be achieved 
at a specific facility within the above guideline, a representative from the 
Association and the Human Relations Consultant of the facility will meet 
to determine a mutually agreeable solution. Requests for additional 
bulletin board access shall not be unreasonably denied. A designated 
Association representative shall be responsible for posting material 
submitted by the Association, a copy of which shall be furnished to the 
Employer before posting. The Association agrees that no controversial 
material shall be posted. It is further agreed that the Employer shall post 
position vacancies as provided in Article IX of the contract on such bulletin 
boards."
A – Probationary Nurses,"501 Regular Registered Nurses may be discharged without recourse to the 
grievance procedure within the first ninety (90) days of employment. Short-
Hour, Temporary and Per diem Registered Nurses may be discharged 
without recourse to the grievance procedure until such Nurse has been 
employed for six (6) months or worked three hundred (300) hours, 
whichever comes first."
B – Regular Nurses,"502 A Regular Nurse is defined as a Nurse who is regularly employed to 
work a predetermined work schedule of twenty (20) or more hours per 
week. Any Nurse designated as a Regular Nurse shall accumulate and 
receive all fringe benefits as provided in this Agreement when the Nurse 
becomes, and so long as the Nurse remain s, a Regular Nurse. (Regular 
part-time Nurses shall receive prorated benefits pursuant to paragraph 
2401.)"
"C – Short-Hour, Temporary and Per diem Nurses","503 A Short-Hour Nurse is one who is regularly scheduled to work on a 
predetermined work schedule of less than twenty (20) hours per week. 
504 A Per diem Nurse is one who is employed to work on an intermittent basis. 
A Per diem Nurse may be scheduled in advance in order to cover pre-
scheduled vacation or education leave time for Regular Nurses.  For pre-
scheduled vacation and education leave shifts, Per Diems shall not be 
cancelled or displaced and shall not be able to exercise the 72 hour 
cancelation provision (para 809, 812).  All other shifts shall otherwise 
be scheduled in accordance with Article VIII,"
B – Availability,"for Extra Shifts . Per-Diem employees must make themselves available 
to work at least four (4) shifts in any one Master Schedule which consists of 
two (2) consecutive payroll periods, two shifts of which, where required, 
must be on the weekend (pursuant to Article VII,"
"G, paragraph","725 of the Agreement). 
505 A Temporary Nurse is one who is hired as an interim replacement, or one 
who is hired for temporary work on a predetermined work schedule which 
does not extend beyond three (3) calendar months."
D – Staff Nurse Categories,"506 Following are brief descriptions of RN and NP classifications. The parties 
have agreed upon complete job descriptions for Staff Nurse I-IV in the 
inpatient setting and in the Emergency Departments, for inpatient Charge"
"8 Nurse, and for Home Health Nurse I-III; the parties are continuing to review","job descriptions for RNs and NPs in outpatient settings. 
507 Staff Nurse I-IV 
Staff Nurse I 
A Nurse employed by the facility who has less than six (6) months of 
recent hospital, clinic or similar nursing experience. 
Staff Nurse II 
A Nurse employed by the facility who has at least six (6) months of recent 
hospital, clinic or similar nursing experience. 
Staff Nurse III 
A Nurse employed by the facility who has at least 5 years of clinical 
experience as a Registered Nurse and who meets the requirements as 
describe in Article XVI. 
Staff Nurse IV 
A Nurse employed by the facility who has at least 8 years of clinical 
experience as a Registered Nurse and who meets the requirements as 
described in Article XVI. 
508 Home Health Nurse I-III 
A Registered Nurse assigned responsibility for delivery of health 
services to patients in a home setting. Typically, such nursing care, as 
directed by the physician, will include administration of treatment and 
medication, assessment of patient's condition, teaching and supervision of 
patient and family in general and specific procedures essential to nursing 
plan for patient, coordinating the patient's needs with Kaiser and 
community resources and reporting the patient's progress to the physician. 
Home Health Nurse I 
A Registered Nurse who has a minimum of eighteen (18) months of 
applicable Registered Nurse experience within the last five (5) years, as 
determined by the Employer. 
Home Health Nurse II 
Registered Nurse who has a minimum of two (2) years of applicable 
Registered Nurse experience within the last five (5) years, as determined 
by the Employer, of which at least six (6) months must be home health"
9 experience within a hospital- based or community-based home health,"agency. 
Home Health Nurse III 
A Registered Nurse who has a minimum of five (5) years of applicable 
Registered Nurse experience within the last five (5) years, as determined 
by the Employer of which at least three (3) years must be as a Home Health 
Nurse with the Employer, or two (2) years as a Home Health Nurse with the 
Employer and one (1) year home health experience within a Medicare 
certified hospital-based or community-based home health agency and who 
meets the requirements as described in Article XVI. 
509 Nurse Practitioner I-III 
Nurse Practitioners will be recognized in a three step clinical ladder. 
Nurse Practitioner I 
A new graduate Nurse Practitioner or newly employed Nurse Practitioner 
with less than twelve (12) months experience as a Nurse Practitioner. NP I 
shall participate in a Nurse Practitioner mentoring program within the first 
six (6) months of KP employment. 
Nurse Practitioner II 
A Nurse Practitioner who has completed six (6) months of service as a 
NP I, or who has been newly hired into a Nurse Practitioner position and has 
at least twelve (12) months experience as a Nurse Practitioner with 
another employer. NP IIs shall be mentored in the Nurse Practitioner 
Mentoring Program. The Nurse Practitioner’s manager, the Nurse 
Practitioner and the Nurse Practitioner’s mentor shall agree on the length 
of the Nurse Practitioner’s mentoring, which shall be based upon the 
Nurse Practitioner’s competence in the clinical and technical job 
requirements. 
Nurse Practitioner III 
A Nurse Practitioner clinical expert who has met the criteria as defined in 
the Nurse Practitioner Clinical Ladder guidelines set forth in Article XVIII. 
510 Charge Nurse 
A Registered Nurse who provides professional leadership and direction 
of department personnel necessary to maintain the efficient delivery of 
effective nursing care, and is responsible for managing the care/service"
"10 given to a group of patients, which includes coordinating the activities of the","nursing unit/department. 
511 Interim Permittee 
A Nurse who has been issued an Interim Permit but is not yet a licensed 
Registered Nurse."
E – Preceptors,"512 A preceptor is a Registered Nurse designated by the Employer to perform 
that role. Qualified RNs who volunteer to be designated as preceptors will 
be selected by seniority to attend an Employer-provided preceptor-
training program. In each department  where  preceptors  are  assigned, 
the  Employer  shall  make  such assignments on a rotational basis by 
seniority from RNs who have volunteered to be preceptors. 
513 Preceptorships shall be conducted in accord with each department's 
established criteria, after review by the PPC. 
514 To be considered for assignment as preceptor, a RN must have been 
employed by the Employer for at least six (6) months, shall have at least 
two (2) years of satisfactory experience as a RN in the relevant area of 
clinical expertise, and demonstrated current competency in the department 
which the RN is assigned. If there are no qualified volunteers in a 
department, and a qualified Nurse with less than two (2) years of 
experience who meets the other criteria of this paragraph volunteers, that 
Nurse may be designated and assigned as a preceptor. 
515 Each RN designated to perform as a preceptor shall attend an Employer-
provided preceptor-training program prior to performing those duties. Each 
RN shall be paid the RN's regular hourly rate for attending the training. 
516 Each RN designated to perform as a preceptor shall attend an Employer-
provided advanced preceptor-training program after precepting two (2) 
new RN graduates or after one (1) year of experience as a preceptor. 
517 A RN who is designated as a preceptor to either a new employee or transfer 
shall receive additional compensation of $1.50 per hour above the RN's 
hourly rate for each hour that the RN is assigned to perform preceptor duties 
and responsibilities. 
518 When a RN is assigned to perform preceptor duties, the preceptor and 
preceptee shall share a single assignment and only one of the nursing pair 
will be counted in the staffing mix."
11 519 The preceptor will not be called back into the staffing mix except,"during an emergent situation in which reasonable attempts to obtain 
appropriate staff resources have failed. The RN being precepted will 
be assigned duties as determined by the preceptor, manager and the RN 
being precepted. A preceptee or trainee shall not be floated to a different 
department during the preceptorship."
F – Float Department,"520 Each Medical Center shall establish a Float Department. There shall be the 
option to create a Float Department in the outpatient clinics based on 
operational needs, with input from the RN/NP staff. 
Purpose: 
521 The Float Department will: 
Provide hospitals and outpatient clinics a deployable, flexible 
RN/NP staff based on operational needs. 
Provide flexible work environments for RNs/NPs. 
Assist in providing sufficient staff for census fluctuations, and 
vacations, education, sick, and other leave replacements. 
Principles 
522 The Float Department shall: 
Be a discrete department with benefited and non-benefited 
positions (full time, part time, short hour, per diem). 
Have posted start and finish times. 
Be above and not displacing core staffing. 
Have pre-scheduled positions, hours and times in accordance 
with the collective bargaining agreement. Per diems will be 
scheduled on an as needed basis. 
523 The Float Department RNs/NPs shall: 
Have three (3) years’ experience as a RN/NP and demonstrated 
competency in areas of assignment as determined by Performance 
Based Development System (PBDS) or unit-specific competency 
assessment tool."
12 Float to two (2) distinct nursing units and shall receive a five percent,"(5%) differential. Individual RNs/NPs may elect to voluntarily float 
to more than two (2) distinct nursing units, but shall not be required 
to do so. A regional task force comprised of nursing administration 
and RNQLs will develop guidelines to assist hospitals and 
outpatient clinics in identifying distinct nursing units within six (6) 
months of ratification of the collective bargaining agreement. 
Have an orientation individualized to each member of the Float 
Department based on current competencies and experience level. 
Be provided the opportunity to request additional shifts that shall be 
assigned by seniority within this department. 
Be provided the opportunity to request additional shifts in other 
units and shall be assigned by seniority after RNs/NPs who have 
requested additional shifts in their own units. 
Bidding rights shall be in accordance with the collective bargaining 
agreement, Article IX – Position and Filling of Vacancies,"
,"A – Posting, paragraph 901 of the agreement."
G – Voluntary Floating,"Floating Outside Home and/or Float Department Assignments 
524 In order to expand operational flexibility, the Employer proposes 
implementing the following Volunteer Floating process. Kaiser Foundation 
Hospitals will commit to the implementation of the agreed to Voluntary Float 
process. 
525 The Permanente Medical Group by facility, reserves the right to determine 
which process would best accomplish its needs, to include Float 
Department, or Voluntary Float; a combination of both. The 
implementation of the Voluntary Floating Process will void Appendix J, 
Floating of the 2006 Master Agreement. In the administration of this 
paragraph it is understood that Nurses who float shall receive 5% 
differential applied to the Nurse’s base rate. In those facilities where 
floating occurs, a voluntary floating list will be maintained. 
526 The minimum qualifications for floating within KFH or TPMG are Clinical 
Competency in a minimum of two (2) distinct nursing units."
13 Order for Floating to Designated Paired Units,"527 The order for floating to the identified paired units will be: 
• Volunteers from the Volunteer List. Selection would be by seniority 
without regard to rotation. 
• Volunteers who are not on the Volunteer List by seniority. Such 
volunteers will receive float differential for the full shift during which 
they were floated. 
• Registry/Travelers 
• Per Diem Nurses and Nurses working additional shifts, by inverse 
seniority. 
• Scheduled Nurses, working their regularly scheduled shift, by 
inverse seniority. 
528 Volunteer Process 
1. An initial voluntary sign-up list will be created for nurses interested in 
floating in the above mentioned affected units. Nurses will be notified 
two (2) weeks prior to the posting of the sign-up sheet which will be 
posted in a designated binder in each unit’s conference room. The 
list will be made available for two (2) weeks. 
2. Nurses will sign up for a twelve (12) week commitment. 
3. Nurses can add themselves to the volunteer list on an ongoing basis. 
4. Volunteers commit to a twelve (12) week period. Nurses may 
submit a notice to remove themselves from the list at any time, 
with a minimum of thirty (30) days notice, but must fulfill their twelve 
(12) week requirement. 
5. An RN may request to terminate his/her twelve (12) week obligation 
prior to fulfilling the twelve (12) weeks which will be considered on 
a case-by-case basis. The Employer and the Union will meet to 
discuss the individual requests and circumstances. For orientation 
training purpose s, a replacement RN will be identified prior to the 
termination date. Approvals will be by mutual agreement."
14 Designated Float RNs by Inverse Seniority,"529 Should the volunteer list be insufficient or volunteers decline to float, to 
meet the needed number of float RNs per unit as listed above, volunteers 
who have not signed up on the Volunteer list will be solicited and selected 
by seniority; Registry and Traveler Nurses, Per diems and Nurses working 
additional shifts and finally regularly scheduled Nurses on the shift, by 
inverse seniority order will be assigned. Under no circumstances will 
nurses be floated prior to receiving orientation as provided for in #6: 
Orientation for Floating Purposes Only. 
530 Float exemption: No nurse with less than six (6) months experience in 
her/his home unit will float. Nurses who volunteer for an additional shift, in 
accordance with paragraph 810 of this agreement outside his/her home 
department, will not be paid Float differential. 
Float Guidelines 
531 The float Guidelines are developed in order to improve morale among the 
RNs and minimize involuntary floating in units. 
532 1. Every nurse who floats outside her/his home unit as defined in # 5 
below will be compensated with a 5% differential in accordance 
with Order of Floating to Paired Units, above. 
533 2. If a nurse is floated and works overtime she/he will continue to 
receive the 5% differential applied to the Nurse’s base pay. 
534 3. The Employer will make every reasonable effort to avoid “double 
floating” and to float Nurses not more than one (1) time per shift. The 
employer may return the float RN to her/his home unit based on 
operational need. However, if the float RN is returned to the home 
unit she/he will not be required to float again during that shift. 
535 4. The option to float will be provided to nurses designated and oriented 
as float nurses on shift and awarded to the most senior according to 
the “Order for Floating” language. If there are no nurses on the 
Voluntary Float List then the Order for Floating to Designated Paired 
Units will apply. Under no circumstances will nurses be floated 
without proper orientation as provided for in #6.   
536 5. The definition of floating will be movement from one distinct nursing 
unit/department/clinic to another.  Examples of floating are, but not 
limited to, ICU to Med Surg; Med Surg to Peds or Dermatology to 
Emergency Department. Units/departments/clinics with the same 
or similar clinical competencies, but located within the same 
Medical Center/Medical Office Building, will not be considered part 
of the float pairs.  Examples of non- eligible floating differential are"
15 Med Surg North to Med Surg South or from one Primary Care Unit,"to another Primary Care Unit. 
Orientation for floating purposes only: 
537 6. Nurses subject to floating will be thoroughly oriented into the 
designated float unit by a designated Staff Nurse Orienteer prior 
to taking a patient assignment. The Staff Nurse Orienteer will not 
have a patient assignment during orientation. 
538 If needed, Nurses will be provided up to 8 hours of orientation to the 
paired float unit, if necessary, with the exception of ICU to CMU, 
ICU nurses will be provided up to 4 hours of orientation. 
Orientation is defined as those elements contained in the normal 
orientation of Nurses new to the unit and is not intended to include 
clinical competence training. It is expected that Nurses to be 
oriented to the new/additional unit/clinic already posses s the 
required clinical competencies. 
539 Such orientation will be conducted in small groups. No more than 
4 RNs will be assigned to one Staff Nurse Orienteer for orientation. 
540 Orientation shall not be provided to any Registered Nurse who has 
worked in any of the units identified within the last (6) months. Any 
issue related to the need for orientation for the nurse with such 
prior experience shall be evaluated by the RN and the employer on 
a case-by-case basis. 
541 The Voluntary Float Process does not impact or affect the Multi 
Medical Center/Multi Site Agreement or operation of the Float 
Departments in the Master Agreement. 
Required Competencies 
542 To be in accordance with, but not limited to, California Statutes and the 
Employer’s Orientation Policy. 
600 ARTICLE VI – CHANGE IN STATUS 
601 When a Nurse changes from a full-time to a part-time schedule or from a 
part-time to a full-time schedule the Nurse shall be subject to the following 
rules with respect to tenure steps and accumulation of fringe benefits: 
Regular Full-time to Regular Part-time 
602 Stay in the same tenure step."
16 603 Keep same anniversary date for tenure and benefits.,"604 Carry over fringe benefit accumulation to date of change, prorated fringe 
benefit accumulation after date of change. 
Regular (Full or Part-time) to Short-Hour, Temporary and Per diem 
605 Stay in the same tenure step. 
606 Further tenure step movement on next anniversary date provided Nurse 
meets the one thousand (1,000) hour work requirement set forth above 
Article XXIII"
C – Tenure Increases.,"607 Pay off earned and accrued vacation for which the Nurse is eligible and 
pay off earned holidays that have not been paid. 
Regular Part-time to Regular Full-time 
608 Stay in the same tenure step. 
609 Keep same anniversary date for tenure and benefits. 
610 Carry over fringe benefits accumulated as of date of change; after date of 
change, accumulate fringe benefits at full-time rate. 
Short-Hour, Temporary and Per diem to Regular Full-time 
611 Stay in the same tenure step. 
612 Further tenure step movement on next anniversary date provided Nurse 
meets the one thousand (1,000) hour work requirement set forth above 
(Article XXIII,"
C – Tenure Increases).,"613 Starts fringe benefit accumulation at full-time rate as of date of change in 
status. However, if the Nurse previously was a Regular full-time or Regular 
part-time with no break in service, the Nurse retains for fringe benefit 
accumulations the same date the Nurse had when a Regular full-time or 
Regular part-time Nurse, adjusted forward for the length of time in Short-
Hour, Temporary and Per diem status. The Nurse also in such cases 
retains any unused sick leave and Education Leave, accumulated while 
in Regular full-time or Regular part-time status. 
Short-Hour, Temporary and Per diem to Regular Part-time 
614 Stay in the same tenure step."
17 615 Further tenure step movement on next anniversary date provided Nurse,"meets the one thousand (1,000) hour work requirement set forth above 
(Article XXIII,"
C – Tenure Increases).,"616 Starts fringe benefit accumulation at prorated basis as of date of change in 
status. However, if the Nurse previously had been a Regular full-time or 
Regular part-time Nurse with no break in service, the Nurse retains for 
fringe benefit accumulations the same date the Nurse had when a Regular 
full-time or Regular part-time Nurse, adjusted forward for the length of time 
in Short-Hour, Temporary and Per diem status. The Nurse also in such 
cases retains any unused sick leave and Education Leave accumulated 
while in Regular full-time or Regular part-time status. 
700 ARTICLE VII – HOURS OF WORK"
"A – Payroll Week, Work Week and Payroll Day","Payroll Week 
701 “Payroll week” as used in this Article shall mean and consist of the seven 
(7) day period beginning at 12:01 a.m. Sunday, or at the shift change 
hour nearest that time. 
Work Week 
702 The “work week” means the “payroll week” for all purposes, including 
overtime calculations. 
Payroll Day 
703 “Payroll day” as used in this Article shall mean and consist of a twenty-
four (24) hour period, beginning at the same time each payroll day as 
the payroll week begins."
B – Straight-Time,"704 The normal straight-time week's work excluding meal period shall be forty 
(40) hours, five (5) days. A normal straight-time day's work will consist 
of eight (8) hours. 
Four-Shift Schedule 
705 Effective April 1, 1980, Regular full-time Nurses on the night shift with one 
(1) or more years of service and Regular full-time Nurses on the evening 
shift with four (4) or more years of service with the Employer shall have 
the right to elect a regularly scheduled four-shift week. Such Nurses shall 
be compensated at four- fifths (4/5ths) of their regular weekly salary, and"
"G – Weekends Off, shall be applicable. A Nurse","exercising this option shall be granted two (2) consecutive night or evening 
shifts off, respectively, each week. Where a facility has had a more liberal 
consecutive days off program for Nurses working four (4) nights or 
evenings a week, such more liberal program shall not be revised by 
reason of the foregoing provision. The Employer shall make a good faith 
effort to accommodate other requests from RNs/NPs to increase or 
decrease scheduled hours to promote work/life balance. 
Implementation 
706 Regular full-time Nurses eligible to elect the above options shall be placed 
on such schedule as promptly as the vacancy created by the Nurse's 
election to reduce nights or evenings of work can be satisfactorily filled. 
It is the intention of the Parties, insofar as it is practical and possible, to 
reschedule the Nurse no later than thirty (30) days from the election 
notification by the Nurse to the Employer."
C – Overtime,"No Mandatory Overtime 
707 There shall be no mandatory overtime except during a state of emergency 
declared by City, County, State or Federal authorities, or during a short-
term (not to exceed 24 hours) City or County mandatory diversion override. 
In the event of such a state of emergency or diversion override, the 
Facility/Facilities will take all reasonable steps to utilize volunteers and to 
obtain coverage from other sources prior to mandating overtime. 
Overtime Defined 
708 If a Nurse works in excess of forty (40) hours in any one payroll week, or 
eight (8) hours in any one payroll day, or in excess of eight (8) hours in 
consecutive time excluding meal period, such Nurse shall be paid at time 
and one-half (1 1/2) the Nurse's straight-time rate for such work in 
excess of eight (8) hours, or as otherwise defined in"
"E, Alternative","Shifts. 
709 Double the employee's regular straight-time hourly rate of pay shall be paid 
for all hours worked in excess of twelve (12) consecutive hours, excluding 
meal period. 
Authorization of Overtime 
710 All overtime worked must be paid according to State Labor Law. All 
overtime worked by a Nurse should be authorized in advance if possible, 
otherwise the claim for overtime shall be subject to review. If it is not 
possible on the day overtime is worked to secure authorization in advance,"
"19 the Nurse shall record the overtime on the day overtime is worked, and the","reasons therefore on a record made available by the facility, and given to 
the Supervisor at the earliest opportunity. 
Lunch Period and Payment for Lunch Time Worked 
711 Full shift Nurses working the day and evening shifts who are scheduled 
to work eight (8) hours within a spread of eight and one-half (8 1/2) hours 
shall receive not less than one-half (1/2) hour for lunch. If such Nurse is 
required to work during the lunch period, such lunch period shall be paid as 
time worked in addition to payment for the full shift and shall be deemed 
time worked for the purpose of computing overtime.  This provision does 
not prevent a night shift Nurse from working eight (8) hours within eight 
(8) hours without a meal period and eating at the Nurse's station, so long 
as in such cases the eight (8) hours are compensable time. 
712 Should a Nurse anticipate the inability to take a lunch break (except for 
night shift Nurses who have elected eight hours of work in lieu of a 
meal period) at the regularly scheduled time due to workload 
requirements, he or she shall make all reasonable efforts to notify the 
responsible supervisor. Should the Employer be unable to provide an 
appropriate lunch break, it shall comply with applicable state law governing 
Employer responsibilities when the lunch break is missed. 
Timekeeping 
713 The uniform method of the Kaiser Medical Care Program in Northern 
California applies to Nurses under the jurisdiction of this Agreement. At this 
time a summary of the system is as follows:  Time in and time out are 
recorded to the nearest five (5) minutes and total hours worked are 
recorded in hours and tenths of hours. Minutes worked in excess of an 
even hour will be converted to tenths on the basis of the conversion table 
appearing on the time card and illustrated below. 
Overtime Conversion Table 
714 Daily Conversion Table - Minutes to Tenths 
5 .1 20 .3 35 .6 50 .8
10 .2 25 .4 40 .7 55 .9
15 .3 30 .5 45 .8
Inclusion of Differentials 
715 Split shift differential shall be included in the calculation of overtime pay 
eligibility."
20 Distribution of Daily Overtime,"716 Daily overtime will be offered to Registered Nurses on each shift and 
each unit based on seniority. For the purposes of this paragraph, daily 
overtime is defined as not more than four (4) hours before or after the 
employee’s regular shift. 
No Duplication of Overtime Payments 
717 There shall be no duplication of overtime payments for the same hours 
worked under any of the provisions of this Agreement, and to the extent 
that hours are compensated for at overtime rates under one provision, they 
shall not be counted as hours worked in determining overtime under the 
same or any other provision."
D – Rest Periods,"718 Each Nurse shall be granted a rest period of fifteen (15) minutes during 
each half shift without deduction in pay. 
719 Should a Nurse anticipate the inability to take a rest break at the 
regularly scheduled time due to workload requirements, he or she shall 
make all reasonable efforts to notify the responsible supervisor. Should 
the Employer be unable to provide a work break as described above, it 
shall comply with applicable state law governing Employer responsibilities 
when the break is missed."
